Stretch,Stress
1,0
1.0111,0.1542
1.0261,0.3083
1.0429,0.4585
1.0655,0.5534
1.0956,0.6482
1.1391,0.7273
1.1901,0.8024
1.2354,0.8735
1.2694,0.9328
1.2977,1.0119
1.326,1.1225
1.3467,1.2292
1.3635,1.3399
1.3785,1.4545
1.3935,1.5771
1.4066,1.7036
1.4234,1.834
1.4497,2
1.4741,2.1423
1.5004,2.2885
1.5267,2.4229
1.553,2.5613
1.5831,2.7115
1.6207,2.8893
1.6565,3.0435
1.6885,3.1897
1.6923,3.1858
1.7318,3.3715
1.7732,3.5415
1.8165,3.7115
1.8617,3.8972
1.9069,4.0672
1.9577,4.2569
2.0086,4.4466
2.0576,4.6126
2.0915,4.7154
2.1274,4.7984
2.1727,4.8696
2.2068,4.8972
2.2409,4.8498
2.26,4.7708
2.2772,4.6561
2.2926,4.4941
2.306,4.3281
2.3176,4.1581
2.3274,3.9684
2.3371,3.7826
2.3449,3.6245
2.3547,3.3992
2.3644,3.2095
2.378,2.996
2.3877,2.8103
2.3993,2.6403
2.409,2.4625
2.4149,2.336
2.4359,2.2134
2.4512,2.1146
