Stretch,Nominal Stress (kPa)
1,0
1.0174,0.3385
1.0291,0.6
1.0829,0.7538
1.1464,0.8769
1.2156,0.9885
1.2905,1.0962
1.3713,1.2
1.4481,1.2962
1.5327,1.4231
1.5961,1.5385
1.6596,1.6731
1.7173,1.8115
1.7749,1.9615
1.8269,2.1115
1.8846,2.2885
1.9365,2.45
1.9846,2.6
2.0346,2.7615
2.0904,2.9231
2.1462,3.0731
2.1789,3.1577
2.2327,3.3269
2.2827,3.4692
2.3442,3.6231
2.3981,3.7308
2.45,3.7962
2.5018,3.8115
2.546,3.8462
2.5883,3.9115
2.6325,3.9385
2.6497,3.8615
2.6632,3.8115
2.6977,3.7885
2.7284,3.6962
2.7418,3.5462
2.7513,3.35
2.757,3.1769
2.7626,2.9923
2.7683,2.8308
2.7721,2.6923
2.774,2.55
